epoch,accuracy,loss,val_accuracy,val_loss
0,0.6503496766090393,0.6943469643592834,0.6486486196517944,0.6874248385429382
1,0.7039626836776733,0.682064414024353,0.6486486196517944,0.6820579171180725
2,0.7039626836776733,0.673648476600647,0.6486486196517944,0.6765976548194885
3,0.7039626836776733,0.6691409945487976,0.6486486196517944,0.6717921495437622
4,0.7039626836776733,0.6589165329933167,0.6486486196517944,0.6675901412963867
5,0.7039626836776733,0.652357816696167,0.6486486196517944,0.6631404757499695
6,0.7039626836776733,0.6460545659065247,0.6486486196517944,0.6590495109558105
7,0.7039626836776733,0.637315571308136,0.6486486196517944,0.6552626490592957
8,0.7039626836776733,0.6329361796379089,0.6486486196517944,0.6523228287696838
9,0.7039626836776733,0.6307886838912964,0.6486486196517944,0.6506672501564026
10,0.7039626836776733,0.6206976771354675,0.6486486196517944,0.6496568918228149
11,0.7039626836776733,0.623434841632843,0.6486486196517944,0.6486273407936096
12,0.7039626836776733,0.609652578830719,0.6486486196517944,0.6483001112937927
13,0.7039626836776733,0.609399676322937,0.6486486196517944,0.648421049118042
14,0.7039626836776733,0.6203455924987793,0.6486486196517944,0.6488869786262512
15,0.7039626836776733,0.623116135597229,0.6486486196517944,0.6491039991378784
16,0.7039626836776733,0.6140960454940796,0.6486486196517944,0.6495435833930969
17,0.7039626836776733,0.6155083179473877,0.6486486196517944,0.6498196721076965
18,0.7039626836776733,0.6147459745407104,0.6486486196517944,0.6497231125831604
